0,1,2,3,4,5,6,7,8,9,10
496,506,472,497,516,455,498,504,479,529,514
506,454,456,506,472,505,521,538,498,499,463
480,506,497,472,538,473,456,489,472,535,523
589,472,480,513,464,488,497,529,488,490,463
522,471,463,488,488,472,513,539,481,505,497
471,532,448,470,497,482,472,481,456,514,505
514,471,462,523,464,487,513,541,530,525,472
505,472,431,472,496,455,531,520,455,510,505
497,523,489,488,539,473,489,471,472,534,481
523,471,497,514,481,492,573,505,497,481,496
496,516,455,504,497,526,488,531,456,519,489
481,504,471,489,505,455,496,463,488,505,488
537,523,439,475,471,498,456,522,472,465,506
481,481,489,471,456,437,547,513,454,529,464
497,504,455,514,496,473,488,501,506,481,513
522,497,464,513,481,472,464,496,431,480,489
489,473,446,506,513,446,505,546,471,524,455
504,505,464,489,505,458,523,489,464,461,522
506,481,497,529,523,488,497,496,430,505,472
480,455,480,481,521,439,514,516,489,499,480
522,497,464,496,497,506,521,463,447,470,522
497,497,463,524,471,463,455,538,445,515,455
496,480,464,454,481,455,547,489,490,480,497
506,489,464,471,481,522,481,495,447,505,531
472,463,505,523,513,447,471,523,488,514,463
521,473,463,456,522,472,523,504,456,490,497
481,539,480,506,496,522,504,464,455,539,529
513,471,481,486,481,439,481,539,472,476,489
497,505,464,472,472,496,540,488,455,505,513
480,497,504,522,514,481,505,524,489,490,506
522,472,456,522,472,458,488,495,455,455,472
481,523,496,497,529,510,530,472,455,524,538
488,529,472,496,530,497,513,531,481,486,481
505,481,455,464,456,472,474,488,438,514,496
463,505,473,514,513,489,521,505,489,505,506
506,489,447,513,439,464,506,505,454,475,489
489,522,429,516,446,488,478,514,447,569,463
479,522,498,480,498,456,531,480,489,489,539
514,488,438,497,447,464,480,572,530,521,463
472,522,489,464,521,482,522,480,454,513,489
497,489,489,488,514,461,497,513,472,490,505
514,505,521,472,455,463,488,498,490,530,563
471,522,472,462,464,491,497,468,471,490,505
514,473,472,505,471,462,498,496,472,514,489
488,521,456,497,482,472,521,476,464,505,480
489,522,488,496,513,481,497,493,447,486,514
514,514,446,506,472,438,513,520,480,524,472
471,529,474,505,447,500,514,487,480,480,490
499,481,496,497,454,445,463,517,455,514,504
530,455,481,507,489,490,548,477,449,529,482
480,522,481,471,581,490,505,496,488,490,529
522,480,471,506,497,436,463,514,455,539,480
513,488,464,445,505,499,475,533,482,510,531
523,523,504,506,446,471,497,510,479,481,480
538,480,456,488,474,471,464,514,455,559,505
489,472,490,482,489,499,480,515,530,494,513
505,506,504,487,463,461,521,480,456,496,523
522,489,464,532,489,490,455,530,490,558,488
480,497,496,463,455,480,506,487,495,485,522
530,496,464,545,497,480,471,489,481,524,505
497,481,463,505,472,497,489,547,456,506,463
480,506,506,473,472,472,522,489,504,480,564
522,513,447,548,497,464,522,513,456,524,489
580,490,479,489,438,512,464,530,496,495,497
505,479,481,469,489,465,513,497,465,505,505
506,506,455,548,464,480,498,543,438,505,530
496,489,497,448,430,489,488,471,480,489,480
522,488,456,465,505,455,514,493,514,530,506
464,490,463,512,455,497,497,482,455,490,521
505,495,439,471,455,470,604,497,497,514,473
497,514,479,464,505,465,491,497,513,505,521
472,473,464,533,447,499,495,507,456,504,514
522,488,473,470,481,456,514,478,522,490,481
480,514,479,482,488,526,472,517,463,521,546
488,446,431,512,472,481,506,524,482,480,481
514,530,438,465,496,450,496,497,530,514,504
472,473,514,503,473,464,497,509,513,519,530
505,471,489,507,472,494,522,481,472,490,465
497,506,471,488,480,471,489,508,513,530,504
455,471,497,520,472,442,488,494,472,499,490
539,506,430,491,505,511,522,472,496,486,454
463,522,456,498,455,455,463,489,507,548,506
489,438,464,502,498,473,514,513,488,496,489
514,489,504,481,488,499,547,447,523,524,471
463,513,489,488,447,455,448,544,472,519,522
489,506,480,497,496,487,488,458,487,500,479
538,480,414,490,473,500,506,483,514,544,498
497,547,454,504,455,455,496,514,464,490,497
505,489,498,480,513,505,515,519,513,504,472
514,480,422,488,464,497,472,506,497,515,522
488,522,472,506,480,465,446,515,471,490,488
514,465,514,521,480,504,522,470,506,520,523
480,471,471,531,439,503,538,531,491,505,496
513,522,506,472,497,471,472,504,495,499,488
489,463,480,490,455,492,522,498,505,539,531
489,506,446,471,472,511,489,513,455,530,463
480,488,489,446,480,475,489,489,464,510,489
497,488,464,481,447,477,498,538,522,514,530
480,489,480,490,472,455,505,580,490,480,455
497,481,447,478,472,489,505,498,496,524,498
489,480,463,506,455,447,497,496,588,486,513
488,523,474,488,489,483,538,481,447,509,582
498,479,430,463,463,496,505,522,515,520,487
489,489,480,514,472,438,489,515,506,455,531
480,489,539,532,481,473,538,504,514,520,481
506,480,530,487,463,462,490,513,471,490,521
471,497,505,488,472,449,463,514,507,470,489
497,530,497,506,446,469,524,472,513,534,472
505,472,489,480,474,489,479,530,498,461,514
